what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975031362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975034316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975050175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975079694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417975159794
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417975160291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417975160744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417975161165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417975172204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975173212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975174207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975184736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975197014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975239478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417975246378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975247715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975248206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975250783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975266638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975279141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975295858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975309404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975312253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975314887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975317965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975368081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975378058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975380281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975383581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975384164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975387932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975389376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975390290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975391459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975396361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975398960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975399801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975403574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975404083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975419696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417975429928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975430701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975481536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417975482732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976634947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417976646616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976648090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976669373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417976676653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976677916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976883233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976886145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976888004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976902038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417976903833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417977079138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417977146086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417977165898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417977166526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417977404502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417977406043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417977406696
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417977406990
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1417977407838
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1417977407840
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1417977407842
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1417977407843
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1417977407846
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1417977407847
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1417977407849
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1417977407850
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1417977407852
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1417977407854
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1417977407855
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1417977407857
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1417977407859
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1417977407861
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1417977407863
activated,perspective,org.python.pydev,,"org.python.pydev.ui.PythonPerspective",1418010756573
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1418010756576
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1418010756591
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1418010756617
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1418010756684
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1418010756720
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1418010756731
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1418010756778
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1418010756790
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1418010756805
